0,0,4d,0,0a,0,a5,0,1e,0,0a,0,20,0,a8,0,34,0,0a,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0f,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2,10,14,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5c,7e,7d,82,83,74,81,3a,30,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
36,0,27,0,3c,0,e3,1,7d,0,0a,0,7f,0,9,5,2c,1,0a,0,f0,0,0,0,0a,0,0,0,68,1,0,0,13,0,0,78,5,0f,0,0,1,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9c,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,2,10,14,1,0,0,1,10,0,0,0,0,2a,0,14,0,28,0,0,0,ff,0,ff,8,46,20,46,20,0,0,0,0,1,1,0,0,46,20,46,20,0,0,0,0,2,2,0,0,0,20,67,20,1,1,67,20,0a,7,1,3,10,0d,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,3f,0,0,0,61,70,7b,73,7e,0,81,3a,30,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
2e,1,31,0,35,1,e3,1,76,1,0a,0,78,1,48,4,0a,2,0a,0,90,1,0,0,0f,0,0,0,58,2,0,0,16,0,0,78,6,0f,0,0,1,0,19,0,0,0,0a,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9c,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,2,10,14,1,1,0,1,10,0,0,0,0,61,0,30,0,60,0,0,0,ff,0,ff,8,46,20,46,20,0,0,0,0,1,1,0,0,46,20,46,20,0,0,0,0,2,2,0,0,1,20,67,20,1,1,67,20,10,9,1,3,10,0d,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6a,80,6a,80,51,80,51,80,51,80,51,80,51,80,0,0,91,0,0,0,51,84,7d,88,78,7f,0,3a,30,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
0c,2,3f,0,14,2,87,2,6d,2,0a,0,6f,2,32,4,3,3,0a,0,44,2,0,0,14,0,0,0,66,3,0,0,19,0,0,78,7,0f,0,0,1,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9c,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,2,10,14,1,2,0,1,10,0,0,0,0,a5,0,f0,0,e0,1,0,0,ff,0,ff,8,46,20,46,20,0,0,0,0,1,1,0,0,46,20,46,20,0,0,0,0,2,2,0,0,1,20,67,20,1,1,67,20,18,9,1,3,10,0d,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,f7,0,0,0,5c,84,81,84,82,82,84,0,30,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
5,3,36,0,0c,3,87,2,65,3,0a,0,67,3,2a,4,fa,3,0a,0,c6,2,0,0,19,0,0,0,29,4,0,0,1d,0,0,78,9,0f,0,0,1,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9c,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,2,10,14,1,3,0,1,10,0,0,0,0,ac,0,2c,1,58,2,0,0,ff,0,ff,8,46,20,46,20,0,0,0,0,1,1,0,0,46,20,46,20,0,0,0,0,2,2,0,0,1,20,67,20,1,1,67,20,1c,0a,1,3,10,0d,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,6b,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,2,1,0,0,5c,70,75,73,74,83,0,0,30,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
fc,3,2b,0,2,4,87,2,5b,4,0a,0,5d,4,4a,5,13,5,0a,0,9e,7,0,0,1e,0,0,0,6d,0b,0,0,23,0,0,b4,0a,0f,0,0,1,0,19,0,0,0e,1,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9d,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,2,10,14,1,4,0,1,10,0,0,0,0,70,1,e0,1,c0,3,0,0,ff,0,ff,8,48,20,48,20,0,0,0,0,1,1,0,0,48,20,48,20,0,0,0,0,2,2,0,0,67,20,67,20,1,2,67,20,32,0b,1,3,10,0d,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0b,80,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,66,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,26,80,2a,80,22,80,1e,80,22,80,1e,80,62,80,0,0,51,80,51,80,51,80,51,80,51,80,51,80,51,80,0,0,28,2,0,0,62,77,81,74,73,0,0,0,30,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
15,5,52,0,1f,5,ca,0,3b,5,0a,0,3d,5,ec,3,c4,5,0a,0,94,0,0,0,a0,0,0,0,dc,0,0,0,1,0,17,78,9,0f,0c,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,30,6,0,6,10,14,1,5,0,6,10,0,0,0,0,3e,0,20,0,40,0,0,0,ff,0,ff,8,47,20,47,20,0,0,0,0,1,1,0,0,47,20,47,20,0,0,0,0,2,2,0,0,1d,20,1d,20,1,2,1e,20,3,8,1,3,10,0d,0,0,26,80,26,80,26,80,26,80,26,80,26,80,62,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,66,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0b,80,26,80,26,80,26,80,26,80,26,80,26,80,62,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0b,80,26,80,26,80,26,80,26,80,26,80,26,80,62,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,62,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,66,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,62,80,0,0,27,80,27,80,27,80,6e,80,6e,80,6e,80,6e,80,0,0,5d,0,0,0,56,70,7d,73,70,81,74,86,70,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
c6,5,3d,0,ce,5,ca,0,ea,5,0a,0,ec,5,95,4,8f,6,0a,0,c8,0,0,0,dc,0,0,0,2c,1,0,0,1,0,10,78,0b,0f,0d,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,30,7,0,6,10,14,1,6,0,6,10,0,0,0,0,90,0,5c,0,b8,0,0,0,ff,0,ff,8,47,20,47,20,0,0,0,0,1,1,0,0,47,20,47,20,0,0,0,0,2,2,0,0,1d,20,1e,20,1,1,1e,20,4,9,1,3,10,0d,0,0,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,67,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0b,80,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0b,80,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,67,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,27,80,27,80,6f,80,6f,80,6f,80,6f,80,0,0,d8,0,0,0,50,74,81,7e,84,76,74,0,70,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
91,6,1a,0,95,6,ca,0,b1,6,0a,0,b3,6,96,4,56,7,0a,0,70,3,0,0,2c,1,0,0,28,5,0,0,1,0,19,b4,18,0f,10,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4b,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4b,30,8,0,6,10,14,1,7,0,6,10,0,0,0,0,62,2,2,3,4,6,0,0,ff,0,ff,8,47,20,47,20,0,0,0,0,1,1,0,0,47,20,47,20,0,0,0,0,2,2,0,0,1f,20,1f,20,1,2,51,20,4,3,1,3,10,0d,0,0,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,67,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0b,80,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0b,80,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,67,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0,0,26,80,26,80,26,80,26,80,26,80,26,80,63,80,0,0,28,80,28,80,28,80,27,80,27,80,27,80,27,80,0,0,93,3,0,0,58,7c,7f,0,84,76,74,0,70,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
58,7,27,0,5e,7,f9,0,7f,7,0a,0,81,7,96,3,fc,7,0a,0,7d,0,0,0,0a,0,0,0,bc,0,0,0,0d,0,0,78,0a,0f,5,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9e,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,0,0a,10,14,1,8,0,9,10,0,0,0,0,10,0,2,0,4,0,0,0,ff,0,ff,8,46,20,46,20,0,0,0,0,1,1,0,0,46,20,46,20,0,0,0,0,2,2,0,0,0,20,25,20,1,1,25,20,4,5,1,3,10,0d,0,0,26,80,2a,80,22,80,1e,80,26,80,2a,80,62,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0,0,26,80,2a,80,22,80,1e,80,26,80,2a,80,66,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0b,80,26,80,2a,80,22,80,1e,80,26,80,2a,80,62,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0b,80,26,80,2a,80,22,80,1e,80,26,80,2a,80,62,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0,0,26,80,2a,80,22,80,1e,80,26,80,2a,80,62,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0,0,26,80,2a,80,22,80,1e,80,26,80,2a,80,66,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0,0,26,80,2a,80,22,80,1e,80,26,80,2a,80,62,80,0,0,6e,80,6e,80,41,80,41,80,41,80,45,80,45,80,0,0,18,0,0,0,53,78,7d,76,7e,0,74,0,70,0,3,0,17,16,0e,5c,17,17,0,0,0,0,0,0,2,0,82,2,c8,3b,3,0,17,16,68,a3,3,0,0,0,63,0,2,0,82,2,dc,0a,17,16,0,0,63,0,68,a3,3,0,4,0,dc,0a,c8,3b
